"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1618","Registration with correct email, username and password","LMS system","Mon Apr 27 19:07:14 UTC 2026","passed","Mon Apr 27 19:07:16 UTC 2026","Registration","Authentication","",""
"","2451","Check displaying of dashboard page","LMS system","Mon Apr 27 19:07:44 UTC 2026","passed","Mon Apr 27 19:07:46 UTC 2026","Dashboard","Dashboard","",""
"","2405","Create course","LMS system","Mon Apr 27 19:07:28 UTC 2026","passed","Mon Apr 27 19:07:31 UTC 2026","Courses","Courses","",""
"","2057","Navigation from login page to registration page","LMS system","Mon Apr 27 19:06:56 UTC 2026","passed","Mon Apr 27 19:06:58 UTC 2026","Authorization","Authentication","",""
"","2148","User login with wrong email or password","LMS system","Mon Apr 27 19:07:11 UTC 2026","passed","Mon Apr 27 19:07:13 UTC 2026","Authorization","Authentication","",""
"","3113","Edit course","LMS system","Mon Apr 27 19:07:31 UTC 2026","passed","Mon Apr 27 19:07:34 UTC 2026","Courses","Courses","",""
"","1682","Check displaying of empty courses list","LMS system","Mon Apr 27 19:07:26 UTC 2026","passed","Mon Apr 27 19:07:27 UTC 2026","Courses","Courses","",""
"","2575","Check displaying of dashboard page","LMS system","Mon Apr 27 19:07:45 UTC 2026","passed","Mon Apr 27 19:07:47 UTC 2026","Dashboard","Dashboard","",""
"","2219","Registration with correct email, username and password","LMS system","Mon Apr 27 19:07:20 UTC 2026","passed","Mon Apr 27 19:07:23 UTC 2026","Registration","Authentication","",""
"","2222","Registration with correct email, username and password","LMS system","Mon Apr 27 19:07:16 UTC 2026","passed","Mon Apr 27 19:07:19 UTC 2026","Registration","Authentication","",""
"","1829","Navigation from login page to registration page","LMS system","Mon Apr 27 19:06:47 UTC 2026","passed","Mon Apr 27 19:06:49 UTC 2026","Authorization","Authentication","",""
"","1756","User login with wrong email or password","LMS system","Mon Apr 27 19:07:01 UTC 2026","passed","Mon Apr 27 19:07:03 UTC 2026","Authorization","Authentication","",""
"","1402","Check displaying of empty courses list","LMS system","Mon Apr 27 19:07:26 UTC 2026","passed","Mon Apr 27 19:07:28 UTC 2026","Courses","Courses","",""
"","2028","User login with wrong email or password","LMS system","Mon Apr 27 19:07:12 UTC 2026","passed","Mon Apr 27 19:07:14 UTC 2026","Authorization","Authentication","",""
"","1535","Check displaying of empty courses list","LMS system","Mon Apr 27 19:07:21 UTC 2026","passed","Mon Apr 27 19:07:23 UTC 2026","Courses","Courses","",""
"","1698","User login with wrong email or password","LMS system","Mon Apr 27 19:06:59 UTC 2026","passed","Mon Apr 27 19:07:01 UTC 2026","Authorization","Authentication","",""
"","3547","Edit course","LMS system","Mon Apr 27 19:07:40 UTC 2026","passed","Mon Apr 27 19:07:43 UTC 2026","Courses","Courses","",""
"","3164","Create course","LMS system","Mon Apr 27 19:07:33 UTC 2026","passed","Mon Apr 27 19:07:37 UTC 2026","Courses","Courses","",""
"","2361","User login with wrong email or password","LMS system","Mon Apr 27 19:07:16 UTC 2026","passed","Mon Apr 27 19:07:18 UTC 2026","Authorization","Authentication","",""
"","4296","Edit course","LMS system","Mon Apr 27 19:07:35 UTC 2026","passed","Mon Apr 27 19:07:39 UTC 2026","Courses","Courses","",""
"","9455","User login with correct email and password","LMS system","Mon Apr 27 19:06:52 UTC 2026","passed","Mon Apr 27 19:07:02 UTC 2026","Authorization","Authentication","",""
"","2771","Create course","LMS system","Mon Apr 27 19:07:29 UTC 2026","passed","Mon Apr 27 19:07:31 UTC 2026","Courses","Courses","",""
"","1874","Check displaying of dashboard page","LMS system","Mon Apr 27 19:07:40 UTC 2026","passed","Mon Apr 27 19:07:42 UTC 2026","Dashboard","Dashboard","",""
"","3131","User login with correct email and password","LMS system","Mon Apr 27 19:06:47 UTC 2026","passed","Mon Apr 27 19:06:50 UTC 2026","Authorization","Authentication","",""
"","1885","User login with wrong email or password","LMS system","Mon Apr 27 19:07:05 UTC 2026","passed","Mon Apr 27 19:07:07 UTC 2026","Authorization","Authentication","",""
"","1661","Navigation from login page to registration page","LMS system","Mon Apr 27 19:06:52 UTC 2026","passed","Mon Apr 27 19:06:54 UTC 2026","Authorization","Authentication","",""
"","1529","User login with wrong email or password","LMS system","Mon Apr 27 19:07:08 UTC 2026","passed","Mon Apr 27 19:07:09 UTC 2026","Authorization","Authentication","",""
"","3287","User login with correct email and password","LMS system","Mon Apr 27 19:07:03 UTC 2026","passed","Mon Apr 27 19:07:07 UTC 2026","Authorization","Authentication","",""
"","1670","User login with wrong email or password","LMS system","Mon Apr 27 19:07:03 UTC 2026","passed","Mon Apr 27 19:07:05 UTC 2026","Authorization","Authentication","",""
"","1565","User login with wrong email or password","LMS system","Mon Apr 27 19:07:08 UTC 2026","passed","Mon Apr 27 19:07:10 UTC 2026","Authorization","Authentication","",""
